Q.yearborn,Q.gender,Q.ethnicity,What do you use to stream TV shows or movies? Select all that apply.,"Of the two options, how do you identify?",Which statement applies to you? Select one.,Which do you currently use? Select all that apply.,"Of the below list, which platform do you use the most, right now? Select one.",Which do you currently use? Select all that apply.,"Of the below list, which platform do you use the most, right now? Select one.",Which statement best applies to you?,Have you canceled a streaming subscription in the past year?,Why did you cancel the streaming subscription in the past year? Select all that apply.,How many hours per week do you spend watching TV shows?,How many hours per week do you spend watching movies?,How many hours per week do you spend playing video games?,How many hours per week do you spend listening to podcasts or audiobooks?,How many hours per week do you spend listening to music?,"Of the below list, which is your favorite to do?","When you are streaming a TV show or movie, which do you primarily prefer?","When you are streaming a TV show or movie, which do you primarily prefer?","When you discover a new TV show or movie, how do you typically first hear about it? Select one.",How important is it to you to be the first of your friend group to discover a new TV show or movie?
1999,Female,['Hispanic'],['Smartphone'],Introvert,I have a part time job,"['Netflix', 'Disney+', 'HBO Max']",Netflix,"['Spotify', 'Apple Music']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Price/Cost'],0 hours,1-5 hours,0 hours,1-5 hours,1-5 hours,Listening to podcasts/audiobooks,Have it on in the background,Watch alone,Seeing it as an ad on a streaming app,Somewhat important
1997,Male,['White or Caucasian'],"['Smart TV', 'Chromecast', 'Firestick', 'Smartphone', 'Laptop']",Introvert,I have a part time job,"['Netflix', 'Amazon Prime Video', 'Disney+']",Disney+,"[""I don't regularly stream music""]",,I personally pay for most or all of the streaming platforms I use,No,[''],12+ hours,1-5 hours,1-5 hours,1-5 hours,1-5 hours,Listening to music,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,A little important
1998,Female,"['White or Caucasian', 'Hispanic']","['Roku ', 'Smartphone']",Introvert,None of the above,['Hulu'],,"[""I don't regularly stream music""]",,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,< 1 hour,0 hours,1-5 hours,Watching TV shows,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Not at all important
2002,Male,['White or Caucasian'],"['Firestick', 'Gaming console', 'Smartphone', 'Laptop']",Introvert,I am a full time student,"['Netflix', 'Peacock', 'Paramount +']",Paramount +,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],12+ hours,12+ hours,12+ hours,0 hours,12+ hours,Playing video games,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Not at all important
1998,Female,['White or Caucasian'],"['Smart TV', 'Roku']",Introvert,None of the above,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max']",Hulu,"['Spotify', 'Amazon Music', 'Apple Music', 'Pandora', 'YouTube Music']",Amazon Music,I personally pay for most or all of the streaming platforms I use,No,[''],12+ hours,12+ hours,0 hours,0 hours,1-5 hours,Watching movies,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,A little important
1998,Female,['White or Caucasian'],"['Gaming console', 'Tablet', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+', 'Paramount +', 'HBO Max']",HBO Max,"['Spotify', 'Amazon Music', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],6-8 hours,< 1 hour,0 hours,0 hours,6-8 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Somewhat important
2000,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Apple TV', 'Smartphone', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Disney+']",Disney+,"['Iheartradio', 'Spotify', 'Pandora', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,< 1 hour,< 1 hour,1-5 hours,6-8 hours,Playing video games,Have it on in the background,Watch alone,Hearing about it from a friend/family member,A little important
1998,Female,['American Indian or Alaska Native'],"['Smart TV', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Google TV+', 'HBO Max', 'ESPN+']",Netflix,"['Pandora', 'SoundCloud', 'YouTube Music']",SoundCloud,I personally pay for most or all of the streaming platforms I use,Yes,['Hard to navigate the platform'],1-5 hours,1-5 hours,< 1 hour,1-5 hours,1-5 hours,Watching movies,Focus entirely on the show,Watch with friends/family,Seeing it as an ad on a streaming app,Somewhat important
1999,Female,['White or Caucasian'],"['Smart TV', 'Gaming console', 'Smartphone', 'Tablet']",Extrovert,I have a part time job,"['Netflix', 'Amazon Prime Video', 'Disney+', 'Discovery+']",Netflix,"['Spotify', 'Amazon Music']",Amazon Music,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],12+ hours,9-11 hours,12+ hours,6-8 hours,6-8 hours,Watching TV shows,Focus entirely on the show,Watch alone,Seeing it as an ad on a streaming app,Very important
1998,Gender Variant/Non-conforming,['White or Caucasian'],"['Smart TV', 'Firestick', 'Gaming console', 'Smartphone']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'HBO Max', 'Crunchyroll', 'Funimation']",YouTube Premium,['Spotify'],,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Content I liked left/ended']",1-5 hours,1-5 hours,9-11 hours,1-5 hours,9-11 hours,Playing video games,Have it on in the background,Watch alone,Seeing it on social media or online,A little important
2001,Female,"['White or Caucasian', 'Hispanic']","['Firestick', 'Gaming console', 'Smartphone', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Paramount +', 'HBO Max']",Hulu,['Apple Music'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,1-5 hours,0 hours,1-5 hours,Playing video games,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Not at all important
2001,Male,['Hispanic'],"['Smart TV', 'Roku ', 'Smartphone', 'Laptop']",Extrovert,I have a full time job,"['Netflix', 'Amazon Prime Video', 'Crunchyroll', 'Funimation']",Netflix,"['Spotify', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,1-5 hours,< 1 hour,1-5 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it as an ad on a streaming app,Very important
1997,Female,['White or Caucasian'],"['Roku ', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+', 'Peacock', 'HBO Max']",Netflix,"['Spotify', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],9-11 hours,1-5 hours,0 hours,9-11 hours,6-8 hours,Listening to podcasts/audiobooks,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Very important
1999,Female,"['White or Caucasian', 'Black or African American', 'Other (please specify):']","['Roku ', 'Smartphone']",Introvert,None of the above,"['Hulu', 'Netflix', 'Disney+', 'Peacock']",Netflix,['Pandora'],,I equally pay for and use another person’s account for the streaming platforms I use,No,[''],9-11 hours,1-5 hours,9-11 hours,1-5 hours,12+ hours,Watching TV shows,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,A little important
1998,Male,['White or Caucasian'],"['Roku ', 'Smartphone']",Introvert,I have a full time job,['Netflix'],,"['Spotify', 'Pandora', 'SoundCloud', 'YouTube Music']",YouTube Music,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],9-11 hours,9-11 hours,6-8 hours,9-11 hours,6-8 hours,Playing video games,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
2000,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Laptop']",Extrovert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+']",Netflix,"['Iheartradio', 'Spotify', 'Amazon Music', 'Pandora', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],< 1 hour,1-5 hours,6-8 hours,9-11 hours,9-11 hours,Listening to music,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
2000,Male,['White or Caucasian'],"['Smart TV', 'Gaming console', 'Smartphone']",Introvert,I have a part time job,"['Hulu', 'Netflix']",Hulu,['Spotify'],,I equally pay for and use another person’s account for the streaming platforms I use,Yes,['Price/Cost'],9-11 hours,1-5 hours,12+ hours,0 hours,12+ hours,Listening to music,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
2001,Male,['Black or African American'],"['Smart TV', 'Roku ', 'Firestick', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Sling', 'Apple TV+', 'Disney+', 'HBO Max', 'ESPN+', 'Crunchyroll', 'Funimation']",Hulu,"['Spotify', 'Apple Music', 'Audible', 'Pandora', 'SoundCloud', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,No,[''],12+ hours,12+ hours,1-5 hours,1-5 hours,12+ hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it on social media or online,Very important
1999,Female,['White or Caucasian'],"['Smart TV', 'Firestick', 'Apple TV', 'Gaming console', 'Smartphone', 'Laptop']",Extrovert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Google TV+', 'Apple TV+', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max', 'ESPN+', 'Discovery+', 'FuboTV']",Paramount +,"['Spotify', 'Amazon Music', 'Apple Music', 'Pandora', 'SoundCloud', 'YouTube Music']",SoundCloud,I personally pay for most or all of the streaming platforms I use,No,[''],< 1 hour,< 1 hour,< 1 hour,< 1 hour,< 1 hour,Listening to music,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Somewhat important
2000,Female,['White or Caucasian'],"['Roku ', 'Smartphone', 'Tablet']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max']",Netflix,['Spotify'],,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Not enough content I liked']",6-8 hours,1-5 hours,1-5 hours,0 hours,1-5 hours,Watching TV shows,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
1999,Male,['White or Caucasian'],"['Smart TV', 'Chromecast', 'Firestick', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Sling', 'Apple TV+', 'Disney+', 'HBO Max', 'ESPN+']",Hulu,"['Spotify', 'Apple Music', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Content I liked left/ended'],6-8 hours,6-8 hours,1-5 hours,1-5 hours,6-8 hours,Playing video games,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Somewhat important
1998,Female,['Black or African American'],"['Roku ', 'Smartphone', 'Tablet', 'Laptop']",Introvert,None of the above,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'HBO Max']",HBO Max,"['Apple Music', 'Pandora', 'SoundCloud']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,"['Not enough content I liked', 'Other (please specify)']",6-8 hours,6-8 hours,< 1 hour,< 1 hour,1-5 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it as an ad on a streaming app,Not at all important
1997,Female,['White or Caucasian'],"['Smart TV', 'Roku']",Introvert,I have a full time job,"['Netflix', 'Amazon Prime Video', 'Paramount +', 'Discovery+']",Amazon Prime Video,"['Spotify', 'Amazon Music', 'SoundCloud', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,1-5 hours,< 1 hour,1-5 hours,Watching movies,Have it on in the background,Watch with friends/family,Seeing it as a recommendation on a streaming app,Somewhat important
2002,Female,"['Black or African American', 'Hispanic']","['Apple TV', 'Tablet', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+']",Netflix,['Apple Music'],,I equally pay for and use another person’s account for the streaming platforms I use,Yes,['Not enough content I liked'],< 1 hour,1-5 hours,1-5 hours,0 hours,6-8 hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
2002,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Chromecast', 'Gaming console', 'Smartphone', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Peacock']",Netflix,['Spotify'],,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],1-5 hours,1-5 hours,< 1 hour,< 1 hour,1-5 hours,Watching TV shows,Have it on in the background,Watch with friends/family,Seeing it as an ad on a streaming app,Somewhat important
1999,Female,['White or Caucasian'],"['Roku ', 'Smartphone', 'Laptop']",Introvert,None of the above,['Netflix'],,"['Spotify', 'SoundCloud']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,1-5 hours,0 hours,9-11 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
2000,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'YouTube Premium', 'Disney+', 'Peacock', 'HBO Max', 'Crunchyroll']",YouTube Premium,"['Iheartradio', 'Spotify', 'Apple Music', 'Audible', 'Pandora', 'SoundCloud', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,9-11 hours,12+ hours,6-8 hours,9-11 hours,Playing video games,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
2000,Female,['White or Caucasian'],"['Smart TV', 'Chromecast', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max', 'ESPN+', 'Discovery+']",Netflix,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,Yes,"['Price/Cost', 'Not enough content I liked']",12+ hours,1-5 hours,1-5 hours,1-5 hours,9-11 hours,Listening to music,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
2000,Female,['Black or African American'],"['Roku ', 'Firestick', 'Smartphone', 'Tablet']",Introvert,I am a part time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+', 'HBO Max', 'ESPN+']",Netflix,"['Iheartradio', 'Spotify', 'Amazon Music', 'Apple Music', 'Audible', 'Pandora', 'SoundCloud', 'YouTube Music']",Apple Music,I equally pay for and use another person’s account for the streaming platforms I use,Yes,['Price/Cost'],6-8 hours,1-5 hours,1-5 hours,< 1 hour,< 1 hour,Listening to music,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,A little important
2002,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'YouTube Premium', 'Apple TV+', 'Disney+', 'ESPN+']",Netflix,"['Spotify', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,6-8 hours,6-8 hours,1-5 hours,9-11 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it on social media or online,A little important
1999,Male,['White or Caucasian'],['Smart TV'],Introvert,I have a full time job,['Other (please specify)'],,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,Yes,"['Price/Cost', 'Not enough content I liked']",12+ hours,0 hours,12+ hours,1-5 hours,9-11 hours,Playing video games,Have it on in the background,Watch with friends/family,Seeing it as a recommendation on a streaming app,Somewhat important
2001,Male,['White or Caucasian'],"['Smart TV', 'Roku ', 'Chromecast', 'Firestick', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Apple TV+', 'Disney+', 'ESPN+']",YouTube Premium,"['Spotify', 'Apple Music', 'SoundCloud', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,12+ hours,12+ hours,6-8 hours,9-11 hours,Listening to music,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Very important
2002,Female,"['White or Caucasian', 'Asian']","['Smart TV', 'Smartphone']",Introvert,I have a part time job,"['Hulu', 'Netflix', 'HBO Max']",HBO Max,['Apple Music'],,I equally pay for and use another person’s account for the streaming platforms I use,Yes,"['Price/Cost', 'Not enough content I liked']",9-11 hours,6-8 hours,1-5 hours,0 hours,< 1 hour,Listening to music,Have it on in the background,Watch with friends/family,Seeing it on social media or online,A little important
1998,Female,['White or Caucasian'],['Roku'],Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'HBO Max', 'FuboTV']",Netflix,"['Spotify', 'Amazon Music', 'Apple Music']",Apple Music,I equally pay for and use another person’s account for the streaming platforms I use,No,[''],1-5 hours,< 1 hour,0 hours,1-5 hours,9-11 hours,Watching movies,Have it on in the background,Watch with friends/family,Seeing it as a recommendation on a streaming app,Not at all important
1999,Male,['White or Caucasian'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Laptop']",Introvert,I am a part time student with a job,"['Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+', 'Paramount +', 'HBO Max', 'Discovery+']",Netflix,"['Spotify', 'Amazon Music', 'Apple Music', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,No,[''],< 1 hour,1-5 hours,< 1 hour,1-5 hours,6-8 hours,Listening to music,Have it on in the background,Watch with friends/family,Seeing it on social media or online,Very important
1998,Male,['White or Caucasian'],"['Chromecast', 'Gaming console', 'Smartphone']",Introvert,I have a full time job,"['Hulu', 'Crunchyroll']",Hulu,['Spotify'],,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,0 hours,9-11 hours,0 hours,1-5 hours,Playing video games,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
1998,Female,"['White or Caucasian', 'Black or African American']","['Smart TV', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'HBO Max']",HBO Max,['Spotify'],,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,1-5 hours,< 1 hour,1-5 hours,Listening to music,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,A little important
2000,Male,['Black or African American'],['Smartphone'],Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video']",Netflix,['Spotify'],,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,6-8 hours,6-8 hours,0 hours,< 1 hour,Playing video games,Focus entirely on the show,Watch with friends/family,Seeing it as an ad on a streaming app,Not at all important
2000,Male,['Black or African American'],"['Smart TV', 'Firestick', 'Smartphone']",Introvert,I am a full time student,"['YouTube Premium', 'Peacock']",Peacock,['YouTube Music'],,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,1-5 hours,1-5 hours,6-8 hours,Playing video games,Have it on in the background,Watch alone,Seeing it on social media or online,A little important
1998,Female,['White or Caucasian'],"['Roku ', 'Firestick', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'YouTube Premium', 'Apple TV+', 'Disney+', 'Paramount +']",Hulu,"['Amazon Music', 'Apple Music', 'Pandora', 'SoundCloud']",Apple Music,I personally pay for most or all of the streaming platforms I use,No,[''],< 1 hour,< 1 hour,1-5 hours,6-8 hours,1-5 hours,Playing video games,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Somewhat important
1997,Female,"['Black or African American', 'Hispanic']","['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max', 'ESPN+', 'Discovery+', 'Funimation']",Hulu,"['Spotify', 'Amazon Music', 'Audible']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],12+ hours,12+ hours,12+ hours,12+ hours,12+ hours,Watching TV shows,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Somewhat important
2001,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock']",Hulu,"['Spotify', 'Amazon Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],9-11 hours,6-8 hours,6-8 hours,< 1 hour,6-8 hours,Watching TV shows,Focus entirely on the show,Watch alone,Seeing it as an ad on a streaming app,Not at all important
2000,Female,['White or Caucasian'],"['Firestick', 'Gaming console', 'Laptop']",Extrovert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'HBO Max']",Netflix,"['Spotify', 'SoundCloud']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,1-5 hours,0 hours,6-8 hours,Watching TV shows,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,A little important
1997,Female,['White or Caucasian'],"['Smart TV', 'Gaming console', 'Smartphone', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video']",Hulu,"['Spotify', 'Apple Music', 'Pandora']",Apple Music,I personally pay for most or all of the streaming platforms I use,No,[''],12+ hours,12+ hours,12+ hours,0 hours,12+ hours,Listening to music,Have it on in the background,Watch alone,Seeing it as an ad on a streaming app,Very important
2000,Female,['White or Caucasian'],"['Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Apple TV+', 'HBO Max']",Netflix,"['Spotify', 'Amazon Music', 'Apple Music', 'YouTube Music']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,Yes,"['Price/Cost', 'Content I liked left/ended']",1-5 hours,< 1 hour,0 hours,1-5 hours,< 1 hour,Playing video games,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Somewhat important
2003,Female,['White or Caucasian'],"['Firestick', 'Apple TV', 'Gaming console', 'Smartphone', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Sling', 'Disney+', 'Funimation']",Disney+,"['Spotify', 'Amazon Music', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Content I liked left/ended'],1-5 hours,1-5 hours,12+ hours,< 1 hour,12+ hours,Playing video games,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Not at all important
1997,Female,['Black or African American'],"['Gaming console', 'Smartphone', 'Laptop']",Extrovert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'HBO Max']",Netflix,"['Spotify', 'Amazon Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Not enough content I liked']",1-5 hours,12+ hours,1-5 hours,< 1 hour,1-5 hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Very important
1998,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Apple TV+', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max', 'ESPN+', 'FuboTV']",Netflix,"['Spotify', 'SoundCloud']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],12+ hours,6-8 hours,6-8 hours,1-5 hours,12+ hours,Watching TV shows,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Somewhat important
2000,Female,"['White or Caucasian', 'Black or African American']","['Smartphone', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Crunchyroll']",Netflix,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Content I liked left/ended'],< 1 hour,0 hours,1-5 hours,< 1 hour,6-8 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it on social media or online,A little important
1999,Male,['White or Caucasian'],"['Apple TV', 'Gaming console', 'Smartphone']",Introvert,I am a full time student,"['Hulu', 'Google TV+']",Google TV+,"['Spotify', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],9-11 hours,1-5 hours,1-5 hours,1-5 hours,< 1 hour,Listening to podcasts/audiobooks,Have it on in the background,Watch with friends/family,Seeing it on social media or online,Somewhat important
1999,Male,['White or Caucasian'],"['Smart TV', 'Roku']",Introvert,I have a full time job,"['Amazon Prime Video', 'Disney+', 'Paramount +', 'HBO Max', 'ESPN+']",Disney+,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Price/Cost'],1-5 hours,6-8 hours,< 1 hour,1-5 hours,6-8 hours,Watching TV shows,Focus entirely on the show,Watch alone,Seeing it on social media or online,Very important
1999,Female,['White or Caucasian'],"['Smart TV', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Funimation']",Hulu,['Apple Music'],,I personally pay for most or all of the streaming platforms I use,Yes,['Content I liked left/ended'],1-5 hours,1-5 hours,1-5 hours,< 1 hour,1-5 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Not at all important
2000,Female,['Black or African American'],"['Smart TV', 'Smartphone', 'Tablet']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+', 'Peacock']",Netflix,"['Spotify', 'Pandora', 'YouTube Music']",YouTube Music,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],9-11 hours,6-8 hours,1-5 hours,1-5 hours,1-5 hours,Listening to music,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Not at all important
1997,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Gaming console']",Introvert,I am a part time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'HBO Max']",Hulu,"['Spotify', 'Amazon Music', 'Apple Music', 'Pandora']",Amazon Music,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Price/Cost'],1-5 hours,1-5 hours,0 hours,6-8 hours,1-5 hours,Listening to podcasts/audiobooks,Have it on in the background,Watch with friends/family,Seeing it as a recommendation on a streaming app,Not at all important
1999,Female,['White or Caucasian'],"['Roku ', 'Chromecast', 'Smartphone', 'Laptop']",Introvert,I am a full time student,"['Netflix', 'Amazon Prime Video', 'Disney+', 'HBO Max', 'ESPN+']",Amazon Prime Video,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,< 1 hour,0 hours,1-5 hours,12+ hours,Listening to music,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Not at all important
1999,Female,['White or Caucasian'],"['Smart TV', 'Roku']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video']",Hulu,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,6-8 hours,1-5 hours,< 1 hour,Watching TV shows,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Somewhat important
